ais,ɛ,,\s|$
aî,ɛː,,
est,ɛ,,\s|$
s,,,\s|$
x,,,\s|$
ent,ʌ,,\s|$
t,,n,\s|$
wagon,vaɡɔ̃,,
ez,e,,\s|$
er,e,,\s|$
è,ɛ,,
ch,ʃ,,VOWEL
ch,k,,
sh,ʃ,,
s,z,VOWEL,VOWEL
ss,s,,
c,s,,[eiy]
c,k,,
ç,s,,
d,d,,
f,f,,
ph,f,,
ge,ʒ,,[aouɛ]
g,ʒ,,[eiy]
gn,ɲ,,\s|$
gu,ɡ,,
ng,ŋ,,\s|$
g,ɡ,,
j,ʒ,,
k,k,,
ill,j,VOWEL,
ill,ij,,
ail,aj,,\s|$
eil,ɛj,,\s|$
ll,l,,
l,l,,
mm,m,,
m,m,,
nn,n,,
n,n,,
p,p,,
qu,k,,
q,k,,
rh,ʁ,,
rr,ʁ,,
r,ʁ,,
th,t,,
t,t,,
ti,si,,[aeou][nm]
v,v,,
w,w,,
x,ks,,
z,z,,
en,ɛn,,VOWEL
en,ɑ̃,,
ein,ɛn,,VOWEL
ein,ɛ̃,,
em,ɑ̃,,[pb]
an,ɑn,,VOWEL
ant,ɑ̃,,\s|$
an,ɑ̃,,
am,ɑ̃,,[pb]
ain,ɛn,,VOWEL
in,ɪn,,VOWEL
ain,ɛ̃,,
in,ɛ̃,,
aim,ɛ̃,,[pb]
im,ɛ̃,,[pb]
ɪ,i,,
on,ɔn,,VOWEL
om,ɔm,,VOWEL
on,ɔ̃,,
om,ɔ̃,,[pb]
un,yyyn,,VOWEL
un,œ̃,,
um,œ̃,,[pb]
um,œ̃,,\s|$
yyy,u,,
œu,œ,,
eu,ø,,
eau,o,,
au,o,,
o,ɔ,,[rnml]
é,ɜ,,
ae,ɜ,,
æ,ɜ,,
ai,ɜ,,
e,,,\s|$
e,ʌ,,
e,ɛ,,(CONSONANT)(CONSONANT)
ɜ,e,,
à,a,,
â,ɑ,,
a,a,,
oin,wɛ,,
oi,wa,,
ê,ɛː,,
ay,ɛj,,VOWEL
ay,e,,
oy,waj,,VOWEL
oy,wa,,
y,i,,
u,y,,
oy,u,,
